Date	Firm	To Grade	From Grade	Action
2019-01-15	Bank of America	Buy		init
2019-03-19	Bank of America	Buy	Buy	main
2019-05-08	HSBC	Reduce		init
2019-05-31	Susquehanna	Neutral		init
2019-06-10	Goldman Sachs	Buy		init
2019-06-28	Cantor Fitzgerald	Overweight		init
2019-08-29	JP Morgan	Neutral		main
2019-09-04	Guggenheim	Buy		init
2019-10-18	UBS	Buy		init
2019-10-30	Citigroup	Buy	Neutral	up
2019-11-14	Evercore ISI Group	In-Line		init
2019-11-22	Cantor Fitzgerald	Overweight		main
2020-01-09	Guggenheim	Buy		main
2020-02-27	JP Morgan	Overweight	Neutral	up
2020-03-03	Cantor Fitzgerald	Overweight		main
2020-03-03	B of A Securities	Buy		main
2020-03-27	HSBC	Hold	Reduce	up
2020-05-28	Guggenheim	Buy		main
2020-06-04	Guggenheim	Buy		main
2020-08-13	Evercore ISI Group	Outperform	In-Line	up
