Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1992-03-17	1.47	1.47	1.44	1.44	156000	0.0	0.0
1992-03-18	1.46	1.5	1.45	1.5	617600	0.0	0.0
1992-03-19	1.52	1.54	1.5	1.53	984000	0.0	0.0
1992-03-20	1.51	1.55	1.51	1.55	260000	0.0	0.0
1992-03-23	1.56	1.58	1.56	1.56	658400	0.0	0.0
1992-03-24	1.56	1.62	1.56	1.59	230400	0.0	0.0
1992-03-25	1.58	1.61	1.58	1.6	388800	0.0	0.0
1992-03-26	1.59	1.6	1.59	1.59	116000	0.0	0.0
1992-03-27	1.59	1.59	1.58	1.58	219200	0.0	0.0
1992-03-30	1.58	1.59	1.57	1.57	128000	0.0	0.0
1992-03-31	1.57	1.57	1.57	1.57	81600	0.0	0.0
1992-04-01	1.57	1.58	1.56	1.57	864800	0.0	0.0
1992-04-02	1.58	1.58	1.57	1.57	146400	0.0	0.0
1992-04-03	1.58	1.58	1.56	1.56	135200	0.0	0.0
1992-04-06	1.57	1.57	1.53	1.56	92000	0.0	0.0
1992-04-07	1.56	1.57	1.56	1.56	197600	0.0	0.0
1992-04-08	1.54	1.54	1.49	1.51	48800	0.0	0.0
1992-04-09	1.52	1.59	1.5	1.57	142400	0.0	0.0
1992-04-10	1.58	1.58	1.57	1.57	67200	0.0	0.0
1992-04-13	1.58	1.73	1.58	1.73	316800	0.0	0.0
1992-04-14	1.71	1.82	1.69	1.77	472800	0.0	0.0
1992-04-15	1.78	1.78	1.74	1.75	226400	0.0	0.0
1992-04-16	1.73	1.73	1.67	1.7	55200	0.0	0.0
1992-04-20	1.71	1.71	1.56	1.61	132000	0.0	0.0
1992-04-21	1.6	1.66	1.6	1.66	224000	0.0	0.0
1992-04-22	1.64	1.68	1.63	1.67	70400	0.0	0.0
1992-04-23	1.67	1.68	1.65	1.68	230400	0.0	0.0
1992-04-24	1.68	1.72	1.68	1.72	72000	0.0	0.0
1992-04-27	1.7	1.7	1.7	1.7	800	0.0	0.0
1992-04-28	1.7	1.7	1.69	1.7	159200	0.0	0.0
1992-04-29	1.7	1.71	1.69	1.71	142400	0.0	0.0
1992-04-30	1.71	1.79	1.71	1.77	413600	0.0	0.0
1992-05-01	1.77	1.82	1.75	1.82	484800	0.0	0.0
1992-05-04	1.81	1.82	1.79	1.82	159200	0.0	0.0
1992-05-05	1.82	1.82	1.82	1.82	0	0.0	0.0
1992-05-06	1.94	1.94	1.89	1.89	187200	0.0	0.0
1992-05-07	1.89	1.9	1.89	1.89	406400	0.0	0.0
1992-05-08	1.89	1.89	1.87	1.89	24000	0.0	0.0
1992-05-11	1.87	1.89	1.87	1.87	189600	0.0	0.0
1992-05-12	1.87	1.88	1.87	1.88	260000	0.0	0.0
1992-05-13	1.89	1.89	1.85	1.85	292800	0.0	0.0
1992-05-14	1.87	1.91	1.85	1.89	821600	0.0	0.0
1992-05-15	1.91	1.91	1.85	1.88	448800	0.0	0.0
1992-05-18	1.87	1.88	1.85	1.88	34400	0.0	0.0
1992-05-19	1.88	1.88	1.85	1.87	292800	0.0	0.0
1992-05-20	1.87	1.88	1.85	1.88	720800	0.0	0.0
1992-05-21	1.86	1.88	1.85	1.88	183200	0.0	0.0
1992-05-22	1.87	1.88	1.85	1.88	1551200	0.0	0.0
1992-05-26	1.87	1.87	1.85	1.86	473600	0.0	0.0
1992-05-27	1.85	1.85	1.85	1.85	171200	0.0	0.0
1992-05-28	1.85	1.85	1.73	1.77	513600	0.0	0.0
1992-05-29	1.77	1.81	1.77	1.81	681600	0.0	0.0
1992-06-01	1.77	1.81	1.77	1.81	280800	0.0	0.0
1992-06-02	1.81	1.81	1.77	1.81	84800	0.0	0.0
1992-06-03	1.79	1.85	1.79	1.85	977600	0.0	0.0
1992-06-04	1.85	1.87	1.83	1.87	688800	0.0	0.0
1992-06-05	1.87	1.87	1.83	1.87	852800	0.0	0.0
1992-06-08	1.87	1.91	1.86	1.89	955200	0.0	0.0
1992-06-09	1.89	1.89	1.83	1.85	783200	0.0	0.0
1992-06-10	1.87	1.89	1.85	1.87	1491200	0.0	0.0
1992-06-11	1.89	1.89	1.87	1.88	668000	0.0	0.0
1992-06-12	1.89	1.89	1.87	1.87	439200	0.0	0.0
1992-06-15	1.89	1.89	1.85	1.85	1444800	0.0	0.0
1992-06-16	1.87	1.87	1.85	1.85	250400	0.0	0.0
1992-06-17	1.85	1.85	1.75	1.81	761600	0.0	0.0
1992-06-18	1.75	1.81	1.69	1.71	926400	0.0	0.0
1992-06-19	1.71	1.75	1.71	1.73	36800	0.0	0.0
1992-06-22	1.73	1.73	1.67	1.71	172800	0.0	0.0
1992-06-23	1.69	1.69	1.65	1.69	106400	0.0	0.0
1992-06-24	1.63	1.63	1.63	1.63	28800	0.0	0.0
1992-06-25	1.63	1.63	1.61	1.61	77600	0.0	0.0
1992-06-26	1.61	1.65	1.59	1.61	255200	0.0	0.0
1992-06-29	1.62	1.71	1.62	1.71	1275200	0.0	0.0
1992-06-30	1.71	1.71	1.67	1.71	336800	0.0	0.0
1992-07-01	1.69	1.71	1.67	1.67	113600	0.0	0.0
1992-07-02	1.71	1.71	1.66	1.66	117600	0.0	0.0
1992-07-06	1.65	1.65	1.57	1.61	852800	0.0	0.0
1992-07-07	1.61	1.65	1.57	1.59	202400	0.0	0.0
1992-07-08	1.61	1.61	1.57	1.61	115200	0.0	0.0
1992-07-09	1.56	1.61	1.56	1.6	543200	0.0	0.0
1992-07-10	1.61	1.61	1.59	1.59	345600	0.0	0.0
1992-07-13	1.57	1.61	1.57	1.59	1306400	0.0	0.0
1992-07-14	1.57	1.59	1.57	1.58	3024000	0.0	0.0
1992-07-15	1.59	1.59	1.57	1.58	128000	0.0	0.0
1992-07-16	1.57	1.59	1.57	1.59	17600	0.0	0.0
1992-07-17	1.59	1.59	1.57	1.57	117600	0.0	0.0
1992-07-20	1.59	1.63	1.57	1.61	233600	0.0	0.0
1992-07-21	1.69	1.72	1.66	1.71	167200	0.0	1.5
1992-07-22	1.72	1.72	1.66	1.68	18400	0.0	0.0
1992-07-23	1.69	1.69	1.69	1.69	3200	0.0	0.0
1992-07-24	1.69	1.69	1.66	1.66	53600	0.0	0.0
1992-07-27	1.69	1.69	1.66	1.66	204800	0.0	0.0
1992-07-28	1.66	1.69	1.63	1.66	656800	0.0	0.0
1992-07-29	1.69	1.72	1.63	1.69	307200	0.0	0.0
1992-07-30	1.72	1.72	1.66	1.66	77600	0.0	0.0
1992-07-31	1.69	1.69	1.65	1.69	27200	0.0	0.0
1992-08-03	1.63	1.69	1.63	1.69	165600	0.0	0.0
1992-08-04	1.69	1.69	1.69	1.69	117600	0.0	0.0
1992-08-05	1.69	1.75	1.66	1.75	443200	0.0	0.0
1992-08-06	1.75	1.75	1.69	1.72	69600	0.0	0.0
1992-08-07	1.69	1.72	1.69	1.71	367200	0.0	0.0
1992-08-10	1.69	1.71	1.69	1.69	64800	0.0	0.0
1992-08-11	1.66	1.69	1.6	1.6	528000	0.0	0.0
1992-08-12	1.57	1.6	1.57	1.6	56800	0.0	0.0
1992-08-13	1.6	1.6	1.6	1.6	0	0.0	0.0
1992-08-14	1.63	1.63	1.57	1.63	5600	0.0	0.0
1992-08-17	1.6	1.6	1.57	1.57	24800	0.0	0.0
1992-08-18	1.59	1.63	1.57	1.6	115200	0.0	0.0
1992-08-19	1.57	1.6	1.57	1.6	629600	0.0	0.0
1992-08-20	1.6	1.6	1.6	1.6	66400	0.0	0.0
1992-08-21	1.63	1.63	1.57	1.57	212800	0.0	0.0
1992-08-24	1.57	1.6	1.57	1.57	110400	0.0	0.0
1992-08-25	1.6	1.6	1.52	1.6	639200	0.0	0.0
1992-08-26	1.55	1.57	1.53	1.55	251200	0.0	0.0
1992-08-27	1.52	1.57	1.52	1.55	64800	0.0	0.0
1992-08-28	1.52	1.57	1.52	1.57	20800	0.0	0.0
1992-08-31	1.53	1.57	1.52	1.57	561600	0.0	0.0
1992-09-01	1.53	1.57	1.52	1.55	176000	0.0	0.0
1992-09-02	1.52	1.57	1.52	1.52	118400	0.0	0.0
1992-09-03	1.57	1.57	1.52	1.52	234400	0.0	0.0
1992-09-04	1.52	1.55	1.52	1.52	319200	0.0	0.0
1992-09-08	1.52	1.52	1.43	1.52	397600	0.0	0.0
1992-09-09	1.46	1.52	1.43	1.52	134400	0.0	0.0
1992-09-10	1.46	1.6	1.46	1.6	1401600	0.0	0.0
1992-09-11	1.6	1.6	1.52	1.56	398400	0.0	0.0
1992-09-14	1.55	1.6	1.55	1.6	169600	0.0	0.0
1992-09-15	1.55	1.6	1.55	1.6	1226400	0.0	0.0
1992-09-16	1.52	1.57	1.52	1.55	388800	0.0	0.0
1992-09-17	1.55	1.56	1.5	1.55	1022400	0.0	0.0
1992-09-18	1.49	1.52	1.46	1.5	324800	0.0	0.0
1992-09-21	1.46	1.52	1.4	1.52	1413600	0.0	0.0
1992-09-22	1.44	1.49	1.43	1.46	476000	0.0	0.0
1992-09-23	1.43	1.52	1.43	1.52	941600	0.0	0.0
1992-09-24	1.52	1.55	1.47	1.52	626400	0.0	0.0
1992-09-25	1.49	1.55	1.49	1.52	666400	0.0	0.0
1992-09-28	1.49	1.52	1.49	1.49	136800	0.0	0.0
1992-09-29	1.46	1.52	1.46	1.46	403200	0.0	0.0
1992-09-30	1.52	1.52	1.43	1.43	429600	0.0	0.0
1992-10-01	1.43	1.49	1.43	1.44	1384000	0.0	0.0
1992-10-02	1.52	1.52	1.37	1.43	564000	0.0	0.0
1992-10-05	1.37	1.37	1.27	1.31	792000	0.0	0.0
1992-10-06	1.25	1.37	1.25	1.34	644000	0.0	0.0
1992-10-07	1.34	1.4	1.34	1.4	48800	0.0	0.0
1992-10-08	1.4	1.49	1.37	1.46	3263200	0.0	0.0
1992-10-09	1.49	1.5	1.46	1.49	128000	0.0	0.0
1992-10-12	1.46	1.52	1.46	1.52	76800	0.0	0.0
1992-10-13	1.52	1.52	1.46	1.52	176000	0.0	0.0
1992-10-14	1.43	1.49	1.43	1.49	1211200	0.0	0.0
1992-10-15	1.49	1.49	1.4	1.43	71200	0.0	0.0
1992-10-16	1.49	1.49	1.43	1.43	299200	0.0	0.0
1992-10-19	1.44	1.55	1.43	1.55	676800	0.0	0.0
1992-10-20	1.55	1.55	1.52	1.52	28000	0.0	0.0
1992-10-21	1.52	1.52	1.52	1.52	15200	0.0	0.0
1992-10-22	1.52	1.55	1.52	1.55	128000	0.0	0.0
1992-10-23	1.5	1.55	1.5	1.52	40800	0.0	0.0
1992-10-26	1.55	1.57	1.52	1.57	109600	0.0	0.0
1992-10-27	1.56	1.57	1.52	1.57	99200	0.0	0.0
1992-10-28	1.57	1.66	1.55	1.66	311200	0.0	0.0
1992-10-29	1.66	1.66	1.6	1.66	22400	0.0	0.0
