Date	Firm	To Grade	From Grade	Action
2012-02-17	Oxen Group	Hold		init
2012-11-05	Credit Suisse	Outperform	Neutral	up
2013-01-10	Bank of America	Buy		up
2013-01-15	Citigroup	Buy	Neutral	up
2013-02-07	Goldman Sachs	Buy	Neutral	up
2013-08-06	Mito Securities	Outperform	Neutral	up
2013-10-21	Barclays	Overweight		init
2013-11-21	Jefferies	Hold		init
2014-01-28	UBS	Buy		init
2014-02-25	JP Morgan	Neutral		init
2014-04-11	Mizuho	Buy	Neutral	up
2014-04-22	Mitsubishi UFJ	Neutral	Outperform	down
2014-06-16	ISI Group	Strong Buy		init
2014-09-30	JP Morgan	Overweight	Neutral	up
2014-10-08	Jefferies	Buy		main
2014-10-09	Bank of America	Buy	Neutral	up
2015-01-20	Jefferies	Buy		main
2015-03-02	Jefferies	Hold	Buy	down
2015-04-07	UBS	Neutral	Buy	down
2015-06-04	Jefferies	Hold		main
2015-07-15	Jefferies	Buy	Hold	up
2016-02-08	Societe Generale	Neutral	Buy	down
2016-05-13	Jefferies	Hold		main
2016-05-27	UBS	Sell	Neutral	down
2016-08-25	Citigroup	Hold	Buy	down
2016-09-05	Goldman Sachs	Neutral	Buy	down
2017-07-11	Bank of America	Underperform	Neutral	down
2018-03-01	Bank of America	Neutral	Underperform	up
2018-06-04	Goldman Sachs	Buy	Neutral	up
2018-11-19	JP Morgan	Overweight	Neutral	up
2019-09-05	Morgan Stanley	Underweight	Equal-Weight	down
2020-03-31	UBS	Buy	Neutral	up
