	Holder	Shares	Date Reported	% Out	Value
0	Softbank Group Corporation	131041623	2020-06-29	0.1059	13647985035
1	Vanguard Group, Inc. (The)	45761750	2020-06-29	0.037000000000000005	4766086262
2	FMR, LLC	42459770	2020-06-29	0.034300000000000004	4422185045
3	Blackrock Inc.	38667042	2020-06-29	0.031200000000000002	4027172424
4	Capital World Investors	24201500	2020-06-29	0.0196	2520586225
5	State Street Corporation	23465471	2020-06-29	0.019	2443928804
6	Norges Bank Investment Management	11393157	2019-12-30	0.0092	893451371
7	Janus Henderson Group PLC	9728461	2020-06-29	0.0079	1013219213
8	Geode Capital Management, LLC	9268689	2020-06-29	0.0075	965333959
9	Wellington Management Company, LLP	8364992	2020-06-29	0.0068000000000000005	871213916
