	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	11947201	2020-06-29	0.09029999999999999	2621454843
1	Morgan Stanley	11166684	2020-06-29	0.08439999999999999	2450193803
2	Blackrock Inc.	8209711	2020-06-29	0.062	1801374787
3	FMR, LLC	6078318	2020-06-29	0.045899999999999996	1333704535
4	Jennison Associates LLC	5075284	2020-06-29	0.0384	1113618815
5	Price (T.Rowe) Associates Inc	4373639	2020-06-29	0.033	959663869
6	Sands Capital Management, Inc.	3027530	2020-06-29	0.0229	664300632
7	Franklin Resources, Inc.	2818489	2020-06-29	0.0213	618432856
8	SCGE Management, LP	2783100	2020-06-29	0.021	610667802
9	State Street Corporation	2596313	2020-06-29	0.0196	569682998
