	Holder	Shares	Date Reported	% Out	Value
0	Wellington Management Company, LLP	28987984	2020-06-29	0.1252	256253778
1	Vanguard Group, Inc. (The)	23518633	2020-06-29	0.1016	207904715
2	Adage Capital Partners GP L.L.C.	14733891	2020-06-29	0.0636	130247596
3	Blackrock Inc.	11163857	2020-06-29	0.0482	98688495
4	State Street Corporation	6343822	2020-06-29	0.0274	56079386
5	Wisconsin (State Of) Investment Board	6230466	2020-06-29	0.0269	55077319
6	Janus Henderson Group PLC	4892069	2020-06-29	0.021099999999999997	43245889
7	Nuveen Asset Management	4705406	2020-06-29	0.0203	41595789
8	Geode Capital Management, LLC	3145913	2020-06-29	0.013600000000000001	27809870
9	Millennium Management LLC	3041656	2020-06-29	0.0131	26888239
