	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	19157548	2020-06-29	0.1016	186594517
1	Blackrock Inc.	11146306	2020-06-29	0.0591	108565020
2	Adage Capital Partners GP L.L.C.	9987986	2020-06-29	0.053	97282983
3	State Street Corporation	8138303	2020-06-29	0.0432	79267071
4	Loomis Sayles & Company, LP	7037376	2020-06-29	0.0373	68544042
5	Shaw D.E. & Co., Inc.	5646697	2020-06-29	0.03	54998828
6	Wellington Management Company, LLP	5618424	2020-06-29	0.0298	54723449
7	Alyeska Investment Group, L.P.	3736226	2020-06-29	0.019799999999999998	36390841
8	Geode Capital Management, LLC	3208937	2020-06-29	0.017	31255046
9	Disciplined Growth Investors, Inc.	3106899	2020-06-29	0.0165	30261196
