Date	Firm	To Grade	From Grade	Action
2019-05-02	DA Davidson	Neutral		init
2019-05-02	Wedbush	Outperform		init
2019-05-03	Atlantic Equities	Neutral		init
2019-05-21	Susquehanna	Neutral		init
2019-05-21	Consumer Edge Research	Equal-Weight		init
2019-05-23	New Street Research	Buy		init
2019-05-31	Atlantic Equities	Overweight	Neutral	up
2019-06-04	Morgan Stanley	Overweight		init
2019-06-04	Needham	Buy		init
2019-06-04	Deutsche Bank	Buy		init
2019-06-04	JMP Securities	Market Outperform		init
2019-06-04	Barclays	Overweight		init
2019-06-04	Bank of America	Buy		init
2019-06-04	Citi	Neutral		init
2019-06-04	Oppenheimer	Outperform		init
2019-06-04	Cowen & Co.	Outperform		init
2019-06-04	Canaccord Genuity	Buy		init
2019-06-04	SunTrust Robinson Humphrey	Buy		init
2019-06-04	BTIG	Buy		init
2019-06-04	William Blair	Outperform		init
2019-06-04	Mizuho	Buy		init
2019-06-04	RBC Capital	Outperform		init
2019-06-05	Raymond James	Outperform		init
2019-06-13	Evercore ISI Group	Outperform		init
2019-07-02	Stifel Nicolaus	Hold		init
2019-07-22	HSBC	Hold		init
2019-08-09	Raymond James	Outperform		main
2019-08-09	Morgan Stanley	Overweight		main
2019-08-12	JMP Securities	Market Outperform		reit
2019-09-12	Morgan Stanley	Overweight		main
2019-09-12	Argus Research	Hold		init
2019-09-16	HSBC	Buy	Hold	up
2019-09-27	Wells Fargo	Market Perform		init
2019-10-03	MKM Partners	Neutral		init
2019-10-07	Citigroup	Buy	Neutral	up
2019-10-10	Needham	Buy		main
2019-10-25	Guggenheim Securities	Buy		init
2019-10-30	Bank of America	Buy		main
2019-11-05	RBC Capital	Outperform		main
2019-11-05	Wedbush	Outperform		main
2019-11-05	Barclays	Overweight		main
2019-11-05	Morgan Stanley	Overweight		main
2019-11-05	DA Davidson	Neutral		main
2019-11-14	Argus Research	Buy	Hold	up
2019-11-22	Stifel	Buy	Hold	up
2019-12-03	PiperJaffray	Neutral		init
2019-12-10	Citigroup	Buy		main
2020-01-10	Bernstein	Outperform		init
2020-01-23	Guggenheim	Buy		main
2020-01-28	UBS	Buy		init
2020-01-31	JP Morgan	Overweight		init
2020-02-03	Wedbush	Outperform		main
2020-02-04	Morgan Stanley	Overweight		main
2020-02-07	Needham	Buy		main
2020-02-07	Mizuho	Buy		main
2020-02-07	RBC Capital	Outperform		main
2020-02-07	Stifel	Buy		main
2020-02-07	Wedbush	Outperform		main
2020-02-07	Morgan Stanley	Overweight		main
2020-02-07	DA Davidson	Neutral		main
2020-02-07	CFRA	Buy		main
2020-02-07	Oppenheimer	Outperform		main
2020-02-07	MKM Partners	Buy	Neutral	up
2020-02-07	Canaccord Genuity	Buy		main
2020-02-21	Morgan Stanley	Overweight		main
2020-02-28	KeyBanc	Overweight		init
2020-03-03	Needham	Buy		main
2020-03-18	JP Morgan	Overweight		main
2020-03-20	Wells Fargo	Overweight	Equal-Weight	up
2020-03-20	Deutsche Bank	Buy		main
2020-03-20	KeyBanc	Overweight		main
2020-03-25	Morgan Stanley	Overweight		main
2020-04-17	B of A Securities	Buy		reit
2020-04-21	UBS	Buy		main
2020-04-27	Raymond James	Outperform		main
2020-05-08	Morgan Stanley	Overweight		main
2020-05-26	Wolfe Research	Outperform	Peer Perform	up
2020-06-11	BTIG	Buy		init
2020-07-07	JMP Securities	Market Outperform		main
2020-07-28	Morgan Stanley	Overweight		main
2020-08-05	Deutsche Bank	Buy		main
2020-08-07	Wedbush	Outperform		main
2020-08-07	Morgan Stanley	Overweight		main
2020-08-07	Barclays	Overweight		main
2020-08-07	Mizuho	Buy		main
2020-08-07	RBC Capital	Outperform		main
2020-08-21	Daiwa Capital	Outperform	Neutral	up
2020-08-26	Citigroup	Buy		main
