Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1980-01-02	0.99	1.0	0.99	0.99	1165600	0.0	0.0
1980-01-03	0.98	0.98	0.97	0.98	1453600	0.0	0.0
1980-01-04	0.98	1.0	0.98	1.0	1382400	0.0	0.0
1980-01-07	1.0	1.0	0.99	0.99	1087200	0.0	0.0
1980-01-08	0.99	1.0	0.95	0.95	1213200	0.0	0.0
1980-01-09	0.95	0.96	0.93	0.95	9965200	0.0	0.0
1980-01-10	0.95	0.95	0.94	0.94	5922400	0.0	0.0
1980-01-11	0.94	0.95	0.94	0.94	5394400	0.0	0.0
1980-01-14	0.94	0.96	0.94	0.96	4000000	0.0	0.0
1980-01-15	0.97	0.99	0.97	0.99	1886800	0.0	0.0
1980-01-16	1.0	1.01	1.0	1.0	5077600	0.0	0.0
1980-01-17	1.0	1.0	1.0	1.0	1208800	0.0	0.0
1980-01-18	1.0	1.02	1.0	1.01	1122800	0.0	0.0
1980-01-21	1.02	1.04	1.02	1.04	1487200	0.0	0.0
1980-01-22	1.04	1.06	1.04	1.05	1380000	0.0	0.0
1980-01-23	1.05	1.05	1.04	1.05	899200	0.0	0.0
1980-01-24	1.08	1.1	1.08	1.09	2329200	0.0	0.0
1980-01-25	1.08	1.08	1.07	1.08	863600	0.0	0.0
1980-01-28	1.08	1.09	1.07	1.08	1727200	0.0	0.0
1980-01-29	1.08	1.1	1.08	1.08	949200	0.0	0.0
1980-01-30	1.08	1.09	1.08	1.08	701600	0.0	0.0
1980-01-31	1.08	1.1	1.07	1.07	987200	0.0	0.0
1980-02-01	1.07	1.08	1.07	1.08	623200	0.0	0.0
1980-02-04	1.08	1.09	0.98	1.08	758800	0.0	0.0
1980-02-05	1.09	1.14	1.09	1.14	1955600	0.0	0.0
1980-02-06	1.16	1.24	1.16	1.2	3205200	0.0	0.0
1980-02-07	1.2	1.28	1.2	1.27	8009200	0.0	0.0
1980-02-08	1.27	1.33	1.23	1.33	3726000	0.0	0.0
1980-02-11	1.33	1.35	1.3	1.3	4266400	0.0	0.0
1980-02-12	1.3	1.3	1.27	1.3	3612000	0.0	0.0
1980-02-13	1.3	1.3	1.28	1.3	2558000	0.0	0.0
1980-02-14	1.3	1.3	1.24	1.25	2776800	0.0	0.0
1980-02-15	1.25	1.27	1.24	1.27	3792800	0.0	0.0
1980-02-19	1.27	1.29	1.27	1.29	3395200	0.0	0.0
1980-02-20	1.29	1.31	1.29	1.31	1641600	0.0	0.0
1980-02-21	1.31	1.35	1.3	1.33	2108000	0.0	0.0
1980-02-22	1.33	1.4	1.31	1.36	3788000	0.0	0.0
1980-02-25	1.36	1.38	1.32	1.33	1284800	0.0	0.0
1980-02-26	1.33	1.35	1.32	1.34	1701200	0.0	0.0
1980-02-27	1.34	1.36	1.29	1.31	1665600	0.0	0.0
1980-02-28	1.31	1.33	1.28	1.29	2041600	0.0	0.0
1980-02-29	1.29	1.32	1.29	1.3	1901200	0.0	0.0
1980-03-03	1.3	1.31	1.29	1.29	1408400	0.0	0.0
1980-03-04	1.29	1.3	1.29	1.3	1513200	0.0	0.0
1980-03-05	1.3	1.33	1.3	1.3	1308400	0.0	0.0
1980-03-06	1.31	1.31	1.26	1.27	1779600	0.02942	0.0
1980-03-07	1.26	1.26	1.22	1.23	2258000	0.0	0.0
1980-03-10	1.23	1.24	1.2	1.22	1758400	0.0	0.0
1980-03-11	1.22	1.22	1.17	1.19	2493600	0.0	0.0
1980-03-12	1.19	1.19	1.18	1.19	1891600	0.0	0.0
1980-03-13	1.19	1.2	1.18	1.19	920800	0.0	0.0
1980-03-14	1.19	1.19	1.17	1.18	1401200	0.0	0.0
1980-03-17	1.18	1.18	1.12	1.12	1146800	0.0	0.0
1980-03-18	1.12	1.13	1.11	1.13	1613200	0.0	0.0
1980-03-19	1.15	1.2	1.15	1.17	2260400	0.0	0.0
1980-03-20	1.17	1.18	1.14	1.15	2629200	0.0	0.0
1980-03-21	1.15	1.15	1.13	1.13	1180000	0.0	0.0
1980-03-24	1.13	1.14	1.1	1.11	2419600	0.0	0.0
1980-03-25	1.11	1.13	1.1	1.12	1932000	0.0	0.0
1980-03-26	1.12	1.14	1.12	1.12	796800	0.0	0.0
1980-03-27	1.12	1.13	1.09	1.11	1656000	0.0	0.0
1980-03-28	1.11	1.15	1.11	1.14	1213200	0.0	0.0
1980-03-31	1.15	1.17	1.15	1.17	920800	0.0	0.0
1980-04-01	1.16	1.16	1.14	1.15	2017600	0.0	0.0
1980-04-02	1.15	1.17	1.15	1.15	1322800	0.0	0.0
1980-04-03	1.15	1.15	1.12	1.13	1353600	0.0	0.0
1980-04-07	1.13	1.13	1.11	1.11	1149200	0.0	0.0
1980-04-08	1.11	1.12	1.1	1.11	1541600	0.0	0.0
1980-04-09	1.11	1.13	1.11	1.13	1344400	0.0	0.0
1980-04-10	1.13	1.13	1.11	1.12	842000	0.0	0.0
1980-04-11	1.12	1.12	1.1	1.11	663600	0.0	0.0
1980-04-14	1.11	1.11	1.09	1.09	432800	0.0	0.0
1980-04-15	1.09	1.11	1.09	1.1	628000	0.0	0.0
1980-04-16	1.1	1.11	1.08	1.08	1368000	0.0	0.0
1980-04-17	1.07	1.07	1.0	1.02	6688800	0.0	0.0
1980-04-18	1.02	1.04	1.01	1.02	1325200	0.0	0.0
1980-04-21	1.02	1.02	0.99	0.99	694800	0.0	0.0
1980-04-22	1.01	1.06	1.01	1.06	1299200	0.0	0.0
1980-04-23	1.07	1.08	1.07	1.07	1122800	0.0	0.0
1980-04-24	1.05	1.05	1.02	1.04	2253200	0.0	0.0
1980-04-25	1.04	1.08	1.01	1.07	2050800	0.0	0.0
1980-04-28	1.07	1.07	1.04	1.04	1303600	0.0	0.0
1980-04-29	1.04	1.05	1.03	1.04	561200	0.0	0.0
1980-04-30	1.04	1.04	1.02	1.04	1039600	0.0	0.0
1980-05-01	1.04	1.05	1.02	1.03	737600	0.0	0.0
1980-05-02	1.03	1.05	1.03	1.05	537600	0.0	0.0
1980-05-05	1.05	1.07	1.05	1.05	1016000	0.0	0.0
1980-05-06	1.05	1.07	1.05	1.06	1118000	0.0	0.0
1980-05-07	1.06	1.08	1.06	1.08	806400	0.0	0.0
1980-05-08	1.09	1.1	1.09	1.09	606400	0.0	0.0
1980-05-09	1.09	1.09	1.07	1.08	975600	0.0	0.0
1980-05-12	1.09	1.09	1.06	1.08	796800	0.0	2.0
1980-05-13	1.08	1.11	1.08	1.09	729200	0.0	0.0
1980-05-14	1.09	1.1	1.07	1.07	976400	0.0	0.0
1980-05-15	1.07	1.08	1.05	1.06	510400	0.0	0.0
1980-05-16	1.06	1.07	1.05	1.06	372000	0.0	0.0
1980-05-19	1.06	1.07	1.05	1.06	267600	0.0	0.0
1980-05-20	1.06	1.08	1.05	1.07	535200	0.0	0.0
1980-05-21	1.07	1.08	1.05	1.07	487600	0.0	0.0
1980-05-22	1.08	1.11	1.08	1.1	780400	0.0	0.0
1980-05-23	1.11	1.18	1.11	1.17	1331200	0.0	0.0
1980-05-27	1.21	1.23	1.21	1.22	1588000	0.0	0.0
1980-05-28	1.22	1.22	1.2	1.22	513600	0.0	0.0
1980-05-29	1.2	1.2	1.15	1.17	558800	0.0	0.0
1980-05-30	1.17	1.19	1.13	1.19	856400	0.0	0.0
1980-06-02	1.19	1.2	1.18	1.18	552000	0.0	0.0
1980-06-03	1.18	1.18	1.15	1.16	919600	0.0	0.0
1980-06-04	1.17	1.22	1.17	1.21	1586800	0.0	0.0
1980-06-05	1.22	1.27	1.22	1.24	1794000	0.02942	0.0
