Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2008-03-19	13.61	15.78	12.58	12.92	708486000	0.0	0.0
2008-03-20	13.36	14.86	13.15	14.72	198985200	0.0	0.0
2008-03-24	15.38	15.48	13.49	13.66	149566400	0.0	0.0
2008-03-25	13.85	14.69	13.68	14.46	87092000	0.0	0.0
2008-03-26	14.35	14.75	14.08	14.63	43111600	0.0	0.0
2008-03-27	14.65	14.81	14.33	14.39	39829600	0.0	0.0
2008-03-28	14.49	14.51	14.22	14.35	24675200	0.0	0.0
2008-03-31	14.32	14.52	14.19	14.26	22157200	0.0	0.0
2008-04-01	14.42	14.56	13.79	14.09	60410800	0.0	0.0
2008-04-02	14.11	14.25	13.84	14.25	43836400	0.0	0.0
2008-04-03	14.17	15.16	14.14	14.98	100868000	0.0	0.0
2008-04-04	14.84	14.94	14.58	14.75	36394400	0.0	0.0
2008-04-07	14.89	15.05	14.64	14.87	28301600	0.0	0.0
2008-04-08	14.84	15.61	14.82	15.57	53925600	0.0	0.0
2008-04-09	15.65	15.72	15.0	15.05	48324400	0.0	0.0
2008-04-10	15.13	15.26	14.89	15.12	22372000	0.0	0.0
2008-04-11	14.92	15.27	14.92	15.12	26421600	0.0	0.0
2008-04-14	15.25	15.38	14.99	15.02	28443600	0.0	0.0
2008-04-15	15.16	15.22	14.64	14.72	23888000	0.0	0.0
2008-04-16	14.76	15.31	14.76	15.13	25136800	0.0	0.0
2008-04-17	15.15	15.49	15.1	15.33	22459600	0.0	0.0
2008-04-18	15.55	16.11	15.37	15.78	104099600	0.0	0.0
2008-04-21	15.89	16.58	15.75	16.23	58848000	0.0	0.0
2008-04-22	16.45	16.56	16.01	16.07	47357600	0.0	0.0
2008-04-23	16.23	16.4	15.94	16.03	37319600	0.0	0.0
2008-04-24	16.28	16.69	16.02	16.53	38086800	0.0	0.0
2008-04-25	17.38	17.4	16.9	17.17	101460000	0.0	0.0
2008-04-28	17.49	17.68	17.13	17.3	132517200	0.0	0.0
2008-04-29	16.96	18.5	16.24	18.5	197308400	0.0	0.0
2008-04-30	18.62	19.4	18.54	19.08	147543600	0.0	0.0
2008-05-01	19.3	20.04	19.19	19.53	116395600	0.0	0.0
2008-05-02	19.96	20.01	18.52	18.92	136648800	0.0	0.0
2008-05-05	18.95	19.55	18.48	19.45	70377200	0.0	0.0
2008-05-06	19.55	20.16	19.38	20.02	75913200	0.0	0.0
2008-05-07	20.31	20.55	20.05	20.24	100464800	0.0	0.0
2008-05-08	20.47	20.52	19.65	19.96	92836400	0.0	0.0
2008-05-09	19.62	19.82	18.87	18.95	94312000	0.0	0.0
2008-05-12	19.13	19.32	17.86	18.73	147471600	0.0	0.0
2008-05-13	18.71	19.1	18.48	18.84	53249600	0.0	0.0
2008-05-14	19.05	19.29	18.63	18.81	51400400	0.0	0.0
2008-05-15	18.87	18.97	18.55	18.81	36688800	0.0	0.0
2008-05-16	18.91	18.95	18.58	18.84	34066800	0.0	0.0
2008-05-19	18.81	19.38	18.79	19.05	45473200	0.0	0.0
2008-05-20	18.95	19.17	18.73	18.92	40702000	0.0	0.0
2008-05-21	18.91	19.08	18.41	18.49	41831600	0.0	0.0
2008-05-22	18.43	18.43	17.42	17.68	85283600	0.0	0.0
2008-05-23	17.34	17.68	17.18	17.46	42196400	0.0	0.0
2008-05-27	17.59	18.05	17.01	18.01	62776400	0.0	0.0
2008-05-28	18.36	18.74	18.19	18.73	52996000	0.0	0.0
2008-05-29	19.08	19.88	18.98	19.5	100613200	0.0	0.0
2008-05-30	19.67	20.02	19.62	19.75	72016000	0.0	0.0
2008-06-02	19.72	19.88	19.35	19.68	36856000	0.0	0.0
2008-06-03	19.9	20.11	19.67	20.02	48411600	0.0	0.0
2008-06-04	19.91	20.15	19.5	19.55	40684400	0.0	0.0
2008-06-05	19.77	19.95	19.57	19.95	27059600	0.0	0.0
2008-06-06	19.64	19.66	19.11	19.13	41748000	0.0	0.0
2008-06-09	19.21	19.43	18.42	18.78	45240000	0.0	0.0
2008-06-10	18.36	18.95	18.21	18.37	36048400	0.0	0.0
2008-06-11	18.52	18.52	17.75	17.78	56996400	0.0	0.0
2008-06-12	18.05	18.47	17.96	18.19	44605600	0.0	0.0
2008-06-13	18.35	18.71	18.33	18.64	30689200	0.0	0.0
2008-06-16	18.63	19.1	18.55	19.04	34384000	0.0	0.0
2008-06-17	19.23	19.43	19.14	19.36	33277600	0.0	0.0
2008-06-18	19.15	19.37	19.08	19.18	33724000	0.0	0.0
2008-06-19	19.09	19.3	18.67	19.27	36925200	0.0	0.0
2008-06-20	18.97	19.32	18.92	19.11	42546800	0.0	0.0
2008-06-23	19.18	19.29	18.53	18.54	30141200	0.0	0.0
2008-06-24	18.31	18.97	17.95	18.9	49891200	0.0	0.0
2008-06-25	19.06	19.31	18.72	18.77	50711600	0.0	0.0
2008-06-26	18.43	18.46	17.84	18.09	76562800	0.0	0.0
2008-06-27	18.02	18.95	17.96	18.89	176022800	0.0	0.0
2008-06-30	18.75	18.94	18.36	18.59	49301200	0.0	0.0
2008-07-01	18.21	18.62	18.11	18.62	44921600	0.0	0.0
2008-07-02	18.73	18.84	18.14	18.16	33804000	0.0	0.0
2008-07-03	18.15	18.25	17.67	17.85	28738800	0.0	0.0
2008-07-07	17.95	18.28	16.92	17.29	79944400	0.0	0.0
2008-07-08	17.13	18.18	16.52	18.08	95796400	0.0	0.0
2008-07-09	18.07	18.09	17.24	17.35	55322000	0.0	0.0
2008-07-10	17.33	17.75	16.9	17.67	52812000	0.0	0.0
2008-07-11	17.29	17.71	16.92	17.05	54645200	0.0	0.0
2008-07-14	17.4	17.42	16.58	16.6	42679600	0.0	0.0
2008-07-15	16.3	16.31	15.39	15.65	84268800	0.0	0.0
2008-07-16	15.63	16.59	15.21	16.52	92448800	0.0	0.0
2008-07-17	16.85	17.17	16.32	17.17	67268800	0.0	0.0
2008-07-18	16.98	17.04	16.49	16.79	46632000	0.0	0.0
2008-07-21	16.9	17.14	16.37	16.44	52937200	0.0	0.0
2008-07-22	15.92	16.98	15.53	16.93	65408000	0.0	0.0
2008-07-23	16.81	17.15	16.6	16.75	49942800	0.0	0.0
2008-07-24	16.68	16.86	16.0	16.03	36625600	0.0	0.0
2008-07-25	16.13	16.55	15.8	16.46	38690800	0.0	0.0
2008-07-28	16.56	16.83	16.07	16.13	35699200	0.0	0.0
2008-07-29	16.24	17.37	16.24	17.37	49040400	0.0	0.0
2008-07-30	17.67	18.04	16.98	17.94	76089200	0.0	0.0
2008-07-31	17.43	17.87	16.35	16.71	148888800	0.0	0.0
2008-08-01	16.76	16.95	16.09	16.4	61715600	0.0	0.0
2008-08-04	16.41	16.83	16.35	16.58	42686000	0.0	0.0
2008-08-05	16.74	16.98	16.54	16.83	34354800	0.0	0.0
2008-08-06	16.65	16.65	16.25	16.35	40924000	0.0	0.0
2008-08-07	16.19	16.29	15.86	15.89	43847200	0.0	0.0
2008-08-08	15.96	16.66	15.8	16.6	36354400	0.0	0.0
2008-08-11	16.57	17.49	16.45	17.1	55289200	0.0	0.0
2008-08-12	16.97	17.11	16.6	16.65	33734400	0.0	0.0
2008-08-13	16.66	16.99	16.6	16.93	29924800	0.02625	0.0
2008-08-14	16.92	17.36	16.86	17.36	25839200	0.0	0.0
2008-08-15	17.4	17.53	17.14	17.36	26003200	0.0	0.0
2008-08-18	17.32	17.46	16.98	17.16	25850400	0.0	0.0
2008-08-19	17.05	17.23	16.86	16.89	21104800	0.0	0.0
2008-08-20	16.97	17.11	16.87	17.08	18118800	0.0	0.0
2008-08-21	16.94	17.09	16.76	17.03	15544800	0.0	0.0
2008-08-22	17.26	17.36	16.91	16.97	20955600	0.0	0.0
2008-08-25	16.84	17.15	16.75	16.79	18039600	0.0	0.0
2008-08-26	16.87	17.02	16.69	16.8	18667200	0.0	0.0
2008-08-27	16.73	17.06	16.68	17.05	19141600	0.0	0.0
2008-08-28	17.12	17.36	16.99	17.33	26741200	0.0	0.0
2008-08-29	17.17	17.41	17.11	17.38	19326400	0.0	0.0
2008-09-02	17.6	17.75	17.04	17.17	29898400	0.0	0.0
2008-09-03	17.08	17.25	16.51	16.73	35400800	0.0	0.0
2008-09-04	16.61	16.63	15.97	16.15	37670000	0.0	0.0
2008-09-05	16.02	16.48	15.86	16.43	40616800	0.0	0.0
2008-09-08	16.84	17.01	15.73	16.05	56669600	0.0	0.0
2008-09-09	16.11	16.11	15.39	15.46	49882000	0.0	0.0
2008-09-10	15.41	16.01	15.26	15.81	43936800	0.0	0.0
2008-09-11	15.44	16.34	15.36	16.25	47132000	0.0	0.0
2008-09-12	16.02	16.41	15.86	16.41	28240400	0.0	0.0
2008-09-15	15.72	16.26	15.63	15.89	38734400	0.0	0.0
2008-09-16	15.26	15.79	14.89	15.2	83596400	0.0	0.0
2008-09-17	15.07	15.56	14.66	14.68	67536800	0.0	0.0
2008-09-18	14.7	15.4	13.37	15.32	84189200	0.0	0.0
2008-09-19	16.26	16.3	15.35	15.93	68941600	0.0	0.0
2008-09-22	15.78	15.8	14.86	14.93	46266400	0.0	0.0
2008-09-23	15.08	15.45	14.68	15.32	43803600	0.0	0.0
2008-09-24	15.36	15.51	15.0	15.04	24532400	0.0	0.0
2008-09-25	15.06	15.22	14.78	14.79	23895200	0.0	0.0
2008-09-26	14.37	14.52	13.92	14.21	51171200	0.0	0.0
2008-09-29	13.81	13.85	12.8	13.24	78439200	0.0	0.0
2008-09-30	12.91	14.07	12.91	14.06	38720400	0.0	0.0
2008-10-01	13.91	14.22	13.56	14.04	27054000	0.0	0.0
2008-10-02	14.08	14.08	13.13	13.19	35216000	0.0	0.0
2008-10-03	13.53	13.78	12.9	13.02	58355600	0.0	0.0
2008-10-06	12.23	12.83	11.51	12.68	87360800	0.0	0.0
2008-10-07	12.83	12.93	11.59	11.71	75845600	0.0	0.0
2008-10-08	11.22	12.47	10.94	12.05	75210400	0.0	0.0
2008-10-09	12.32	12.81	11.32	11.42	42537600	0.0	0.0
2008-10-10	10.76	12.36	10.76	11.91	72541600	0.0	0.0
2008-10-13	12.59	13.51	12.27	13.48	49433200	0.0	0.0
2008-10-14	14.2	14.22	12.65	13.19	53142400	0.0	0.0
2008-10-15	12.72	12.83	11.11	11.39	76699200	0.0	0.0
2008-10-16	11.49	12.21	11.0	12.15	56062800	0.0	0.0
2008-10-17	11.79	12.61	11.79	11.96	35098400	0.0	0.0
2008-10-20	12.21	12.33	11.71	11.91	35965600	0.0	0.0
2008-10-21	11.76	12.15	11.52	11.61	28995600	0.0	0.0
2008-10-22	11.44	11.91	10.99	11.11	40243600	0.0	0.0
2008-10-23	11.17	11.35	10.48	11.07	47970000	0.0	0.0
2008-10-24	10.03	11.11	10.02	10.99	40798800	0.0	0.0
2008-10-27	10.77	11.27	10.64	10.67	41901600	0.0	0.0
2008-10-28	10.97	11.81	10.78	11.44	58436000	0.0	0.0
2008-10-29	11.54	12.25	11.34	11.61	55994400	0.0	0.0
2008-10-30	11.59	12.86	11.58	12.42	74913200	0.0	0.0
2008-10-31	12.34	12.84	12.14	12.68	40372800	0.0	0.0
2008-11-03	12.81	12.85	11.89	12.02	28425200	0.0	0.0
2008-11-04	12.45	13.84	12.34	13.7	73603600	0.0	0.0
2008-11-05	13.35	13.56	12.92	12.93	44992000	0.0	0.0
2008-11-06	12.61	12.83	11.62	11.8	52092800	0.0	0.0
2008-11-07	12.01	12.55	11.75	12.25	30906400	0.0	0.0
2008-11-10	12.66	12.66	11.73	11.91	26516800	0.0	0.0
2008-11-11	11.68	12.59	11.53	12.32	32392800	0.0	0.0
2008-11-12	12.04	12.77	11.74	11.87	42746000	0.02625	0.0
2008-11-13	11.9	12.52	11.45	12.49	38733600	0.0	0.0
2008-11-14	12.19	13.08	12.04	12.45	37410400	0.0	0.0
2008-11-17	12.19	12.44	11.85	12.11	29303200	0.0	0.0
2008-11-18	12.11	12.64	12.07	12.54	31482800	0.0	0.0
2008-11-19	12.39	12.81	11.76	11.84	34948000	0.0	0.0
2008-11-20	11.52	11.77	11.01	11.05	50990000	0.0	0.0
2008-11-21	11.38	11.38	9.99	10.64	84771200	0.0	0.0
2008-11-24	10.92	11.47	10.5	11.41	44853600	0.0	0.0
2008-11-25	11.56	11.7	11.24	11.37	44959600	0.0	0.0
2008-11-26	11.2	11.93	11.06	11.93	27670000	0.0	0.0
2008-11-28	11.87	12.1	11.74	12.06	10610000	0.0	0.0
2008-12-01	11.7	11.73	10.94	11.03	30951600	0.0	0.0
2008-12-02	11.17	11.42	10.91	11.4	26573200	0.0	0.0
2008-12-03	11.04	12.1	11.04	12.03	36399600	0.0	0.0
2008-12-04	11.92	12.1	11.52	11.66	30484400	0.0	0.0
2008-12-05	11.42	12.27	11.13	12.2	40991600	0.0	0.0
2008-12-08	12.48	13.23	12.38	12.89	53093600	0.0	0.0
2008-12-09	12.74	12.95	12.18	12.28	32127200	0.0	0.0
2008-12-10	12.2	12.36	11.69	12.2	30186800	0.0	0.0
2008-12-11	12.02	12.53	11.87	11.95	29928400	0.0	0.0
