Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2002-03-21	0.82	0.82	0.82	0.82	0	0.0	0.0
2002-03-22	0.81	0.81	0.79	0.8	44247600	0.0	0.0
2002-03-25	0.79	0.8	0.79	0.8	7429200	0.0	0.0
2002-03-26	0.8	0.82	0.8	0.82	4604400	0.0	0.0
2002-03-27	0.82	0.84	0.82	0.83	13928400	0.0	0.0
2002-03-28	0.82	0.83	0.81	0.83	6098400	0.0	0.0
2002-04-01	0.83	0.84	0.81	0.83	2727600	0.0	0.0
2002-04-02	0.83	0.84	0.82	0.82	4144800	0.0	0.0
2002-04-03	0.82	0.82	0.79	0.81	8430000	0.0	0.0
2002-04-04	0.81	0.83	0.81	0.83	2284800	0.0	0.0
2002-04-05	0.82	0.85	0.82	0.84	5533200	0.0	0.0
2002-04-08	0.83	0.84	0.83	0.84	4418400	0.0	0.0
2002-04-09	0.85	0.85	0.84	0.85	2905200	0.0	0.0
2002-04-10	0.85	0.86	0.84	0.86	3027600	0.0	0.0
2002-04-11	0.86	0.86	0.85	0.86	5821200	0.0	0.0
2002-04-12	0.85	0.86	0.85	0.86	5308800	0.0	0.0
2002-04-15	0.86	0.87	0.85	0.85	2198400	0.0	0.0
2002-04-16	0.85	0.87	0.85	0.87	3998400	0.0	0.0
2002-04-17	0.87	0.87	0.86	0.86	3704400	0.0	0.0
2002-04-18	0.86	0.86	0.84	0.85	3751200	0.0	0.0
2002-04-19	0.85	0.85	0.84	0.84	3531600	0.0	0.0
2002-04-22	0.84	0.87	0.84	0.86	8922000	0.0	0.0
2002-04-23	0.86	0.86	0.85	0.86	12386400	0.0	0.0
2002-04-24	0.85	0.86	0.85	0.85	6998400	0.0	0.0
2002-04-25	0.85	0.85	0.83	0.83	3238800	0.0	0.0
2002-04-26	0.83	0.83	0.82	0.83	7994400	0.0	0.0
2002-04-29	0.82	0.83	0.82	0.83	3802800	0.0	0.0
2002-04-30	0.83	0.83	0.82	0.83	4616400	0.0	0.0
2002-05-01	0.83	0.84	0.83	0.84	5505600	0.0	0.0
2002-05-02	0.84	0.84	0.82	0.82	7122000	0.0	0.0
2002-05-03	0.82	0.83	0.82	0.82	5690400	0.0	0.0
2002-05-06	0.82	0.84	0.82	0.84	4885200	0.0	0.0
