Date	Firm	To Grade	From Grade	Action
2012-03-27	Morgan Stanley	Overweight		up
2012-08-14	Bank of America	Neutral	Buy	down
2012-09-24	Barclays	Overweight		main
2012-10-04	Morgan Stanley	Equal-Weight	Overweight	down
2012-10-18	BBA Securities	Market Perform	Outperform	down
2012-10-19	Canaccord Genuity	Buy		main
2012-11-26	Renaissance Capital	Buy		init
2012-12-04	Canaccord Genuity	Buy		main
2013-01-07	HSBC	Neutral	Overweight	down
2013-01-14	Canaccord Genuity	Hold	Buy	down
2013-01-31	Bank of America	Buy	Neutral	up
2013-02-04	Canaccord Genuity	Hold		main
2013-02-25	Itau BBA	Outperform	Market Perform	up
2013-04-08	Canaccord Genuity	Buy	Hold	up
2013-06-07	Bernstein	Outperform	Underperform	up
2013-10-02	Deutsche Bank	Buy		main
2013-10-04	Barclays	Underweight		init
2013-11-01	Stifel Nicolaus	Buy		up
2013-12-18	Clarksons Platou	Outperform		init
2014-01-10	Jefferies	Hold		init
2014-02-05	Morgan Stanley	Overweight	Equal-weight	up
2014-04-28	JP Morgan	Overweight		main
2014-05-09	JP Morgan	Overweight		main
2014-06-11	Morgan Stanley	Equal-Weight	Overweight	down
2014-06-20	Itau BBA	Market Perform		down
2014-06-30	JP Morgan	Overweight		main
2014-07-08	Barclays	Equal-Weight	Underweight	up
2014-07-24	Jefferies	Hold		main
2014-08-01	Nomura	Buy		main
2014-08-18	JP Morgan	Overweight		main
2014-09-22	Credit Suisse	Neutral		main
2014-10-03	Canaccord Genuity	Hold	Buy	down
2014-10-13	Clarksons Platou	Hold	Buy	down
2014-10-21	Jefferies	Hold		main
2014-10-31	Morgan Stanley	Equal-Weight		main
2014-11-11	Citigroup	Sell	Neutral	down
2014-11-28	Credit Suisse	Neutral		main
2014-12-08	JP Morgan	Overweight		main
2014-12-15	Credit Suisse	Underperform		main
2015-01-09	Jefferies	Hold		main
2015-01-29	JP Morgan	Overweight		main
2015-02-23	Morgan Stanley	Equal-Weight	Overweight	down
2015-03-02	Itau BBA	Underperform		down
2015-03-10	Jefferies	Hold		main
2015-03-12	Bank of America	Underperform	Neutral	down
2015-04-06	Deutsche Bank	Buy		main
2015-04-09	BMO Capital	Underperform	Market Perform	down
2015-04-13	UBS	Sell	Neutral	down
2015-04-15	JP Morgan	Neutral	Overweight	down
2015-05-13	Macquarie	Neutral	Outperform	down
2015-06-02	Itau BBA	Market Perform	Underperform	up
2015-06-24	HSBC	Hold		init
2015-09-04	Canaccord Genuity	Buy		main
2015-10-19	UBS	Neutral	Sell	up
2015-10-20	Stifel Nicolaus	Buy		main
2015-10-28	HSBC	Buy	Hold	up
2016-01-20	HSBC	Hold	Buy	down
2016-03-10	Stifel Nicolaus	Hold	Buy	down
2016-03-17	Nomura	Neutral	Buy	down
2016-03-24	Bank of America	Buy	Neutral	up
2016-04-14	CLSA	Sell	Underperform	down
2016-05-02	BB&T Capital	Buy	Hold	up
2016-05-09	Societe Generale	Hold	Buy	down
2016-06-09	Goldman Sachs	Neutral		init
2016-08-09	Morgan Stanley	Equal-Weight	Underweight	up
2016-08-23	Jefferies	Hold		main
2016-09-12	JP Morgan	Overweight	Neutral	up
2016-09-21	Barclays	Equal-Weight	Underweight	up
2016-10-20	Itau BBA	Outperform	Market Perform	up
2016-11-01	Citigroup	Neutral	Sell	up
2017-01-09	Barclays	Overweight	Equal-Weight	up
2017-01-12	Renaissance Capital	Market Perform	Underperform	up
2017-01-25	Bernstein	Outperform	Market Perform	up
2017-03-31	BMO Capital	Market Perform	Underperform	up
2017-11-20	RBC Capital	Outperform	Sector Perform	up
2017-11-22	Macquarie	Outperform	Neutral	up
2017-11-27	Morgan Stanley	Overweight	Equal-Weight	up
2017-11-28	BTG Pactual	Buy	Hold	up
2017-12-05	Credit Suisse	Outperform	Neutral	up
2018-01-16	Deutsche Bank	Hold	Buy	down
2018-03-01	Cowen & Co.	Market Perform	Market Perform	main
2018-04-24	RBC Capital	Sector Perform	Outperform	down
2018-06-26	Macquarie	Outperform	Neutral	up
2018-06-28	BMO Capital	Outperform	Market Perform	up
2018-09-07	Jefferies	Buy	Hold	up
2018-09-11	Macquarie	Outperform	Outperform	main
2018-09-17	RBC Capital	Underperform	Sector Perform	down
2018-09-25	Macquarie	Neutral	Outperform	down
2018-10-30	Citigroup	Neutral	Buy	down
2018-12-12	Bank of America	Buy	Buy	reit
2019-01-28	HSBC	Hold	Buy	down
2019-01-28	Macquarie	Neutral	Outperform	down
2019-01-28	BMO Capital	Market Perform	Outperform	down
2019-01-28	Jefferies	Hold	Buy	down
2019-02-07	Morgan Stanley	Equal-Weight	Overweight	down
2019-03-04	Scotiabank	Sector Perform	Outperform	down
2019-05-24	Bank of America	Buy	Neutral	up
2019-05-24	RBC Capital	Sector Perform	Underperform	up
2019-09-05	Exane BNP Paribas	Neutral	Underperform	up
2019-09-09	JP Morgan	Overweight		main
2019-09-10	Macquarie	Outperform	Neutral	up
2019-11-22	ScotiaBank	Sector Outperform	Sector Perform	up
2019-12-04	JP Morgan	Overweight		main
2019-12-11	Jefferies	Buy	Hold	up
2020-03-03	Morgan Stanley	Overweight	Equal-Weight	up
2020-03-17	Citigroup	Buy	Neutral	up
2020-03-20	Deutsche Bank	Buy	Hold	up
2020-03-31	Goldman Sachs	Buy	Neutral	up
2020-04-01	BMO Capital	Outperform	Market Perform	up
2020-04-24	RBC Capital	Sector Perform		main
2020-05-06	JP Morgan	Overweight		main
2020-05-11	RBC Capital	Outperform	Sector Perform	up
2020-07-08	Barclays	Overweight		main
2020-07-28	RBC Capital	Outperform		main
