	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	32564409	2020-06-29	0.13419999999999999	327597954
1	Vanguard Group, Inc. (The)	24762434	2020-06-29	0.10210000000000001	249110086
2	Janus Henderson Group PLC	14585600	2020-06-29	0.0601	146731136
3	State Street Corporation	8086486	2020-06-29	0.0333	81350049
4	FMR, LLC	7961566	2020-06-29	0.032799999999999996	80093353
5	First Trust Advisors LP	7914315	2020-06-29	0.0326	79618008
6	Legion Partners Asset Management, LLC	6339753	2020-06-29	0.026099999999999998	63777915
7	Dimensional Fund Advisors LP	5375711	2020-06-29	0.0222	54079652
8	Nantahala Capital Management, LLC	5133300	2020-06-29	0.0212	51640998
9	River Road Asset Management, LLC	4195248	2020-06-29	0.0173	42204194
