	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	17779715	2020-06-29	0.10949999999999999	3026107493
1	Blackrock Inc.	13306531	2020-06-29	0.0819	2264771576
2	State Street Corporation	6907603	2020-06-29	0.0425	1175674030
3	Massachusetts Financial Services Co.	6657608	2020-06-29	0.040999999999999995	1133124881
4	Price (T.Rowe) Associates Inc	4711333	2020-06-29	0.028999999999999998	801868876
5	AllianceBernstein, L.P.	4138091	2020-06-29	0.0255	704303088
6	Franklin Resources, Inc.	4054288	2020-06-29	0.025	690039817
7	Parnassus Investments /ca	3977876	2020-06-29	0.0245	677034495
8	Janus Henderson Group PLC	3257923	2020-06-29	0.020099999999999996	554498494
9	Geode Capital Management, LLC	2781011	2020-06-29	0.0171	473328072
