Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2016-10-05	13.15	13.56	12.74	12.74	569700	0.0	0
2016-10-06	12.74	13.07	12.74	12.94	264900	0.0	0
2016-10-07	13.07	13.07	12.9	13.07	110900	0.0	0
2016-10-10	13.11	20.74	13.07	13.15	6300	0.0	0
2016-10-11	13.23	13.56	13.15	13.44	158400	0.0	0
2016-10-12	13.44	13.97	13.15	13.44	160500	0.0	0
2016-10-13	13.56	13.56	13.15	13.23	265800	0.0	0
2016-10-14	13.19	13.23	13.19	13.23	45500	0.0	0
2016-10-17	13.27	13.27	13.23	13.23	20600	0.0	0
2016-10-18	13.26	13.26	13.11	13.15	464300	0.0	0
2016-10-19	12.94	13.15	12.94	13.14	140400	0.0	0
2016-10-20	13.07	13.15	12.94	13.07	653900	0.0	0
2016-10-21	12.86	12.98	12.74	12.9	27500	0.0	0
2016-10-24	12.94	12.94	12.74	12.88	130300	0.0	0
2016-10-25	12.74	12.8	12.53	12.8	6200	0.0	0
2016-10-26	12.74	12.74	12.61	12.7	52300	0.0	0
2016-10-27	12.61	12.61	12.46	12.49	271100	0.0	0
2016-10-28	12.49	12.7	12.33	12.49	2185200	0.0	0
2016-10-31	12.53	12.53	12.33	12.49	25900	0.0	0
2016-11-01	12.33	12.33	12.24	12.33	11800	0.0	0
2016-11-02	12.16	12.16	11.09	11.18	9900	0.0	0
2016-11-03	11.3	11.34	11.18	11.18	122300	0.0	0
2016-11-04	11.18	11.5	11.18	11.5	603600	0.0	0
2016-11-07	11.59	11.71	11.59	11.59	2300	0.0	0
2016-11-08	11.5	11.71	11.42	11.67	335100	0.0	0
2016-11-09	11.42	11.63	11.42	11.55	106300	0.0	0
2016-11-10	11.59	11.69	11.59	11.69	2629000	0.0	0
2016-11-11	11.83	12.24	11.83	12.09	13400	0.0	0
2016-11-14	12.08	12.28	11.83	11.83	121500	0.0	0
2016-11-15	11.83	11.87	11.77	11.77	798600	0.0	0
2016-11-16	11.79	11.79	11.59	11.59	65600	0.0	0
2016-11-17	11.59	11.59	11.5	11.55	60400	0.0	0
2016-11-18	11.59	11.63	11.42	11.59	728700	0.0	0
2016-11-21	11.5	11.54	11.5	11.5	28000	0.0	0
2016-11-22	11.55	11.55	11.55	11.55	100000	0.0	0
2016-11-23	11.5	11.5	11.5	11.5	50000	0.0	0
2016-11-25	11.5	11.5	11.5	11.5	0	0.0	0
2016-11-28	11.55	11.63	11.55	11.63	500	0.0	0
2016-11-29	11.63	11.63	11.3	11.3	124600	0.0	0
2016-11-30	11.38	11.46	11.34	11.46	291500	0.0	0
2016-12-01	11.51	11.51	11.47	11.47	127300	0.0	0
2016-12-02	11.42	11.42	11.22	11.38	18400	0.0	0
2016-12-05	11.63	11.91	11.5	11.87	530600	0.0	0
2016-12-06	12.57	12.86	12.33	12.82	925600	0.0	0
2016-12-07	12.8	12.82	12.7	12.74	523700	0.0	0
2016-12-08	12.78	13.15	12.74	13.07	625800	0.0	0
2016-12-09	13.15	13.6	13.07	13.48	588400	0.0	0
2016-12-12	13.56	13.56	13.35	13.35	982700	0.0	0
2016-12-13	13.39	13.39	13.27	13.34	2901100	0.0	0
2016-12-14	13.31	13.39	13.15	13.38	2399400	0.0	0
2016-12-15	13.42	13.68	13.42	13.6	1151700	2.32	0
2016-12-16	13.6	13.61	13.47	13.47	70800	0.0	0
2016-12-19	13.51	13.64	13.38	13.64	1242500	0.0	0
2016-12-20	13.63	13.8	13.61	13.75	1128700	0.0	0
2016-12-21	13.78	13.84	13.7	13.75	607400	0.0	0
2016-12-22	13.75	13.85	13.65	13.69	525600	0.0	0
2016-12-23	13.66	13.8	13.63	13.78	35100	0.0	0
2016-12-27	13.85	14.4	13.85	14.37	149200	0.0	0
2016-12-28	14.38	14.61	14.33	14.37	121400	0.0	0
2016-12-29	14.37	14.95	14.37	14.85	414800	0.0	0
2016-12-30	14.85	15.14	14.82	14.85	72200	0.0	0
2017-01-03	14.85	14.85	14.52	14.72	3188000	0.0	0
2017-01-04	14.72	15.43	14.72	15.43	869100	0.0	0
2017-01-05	15.47	15.72	15.33	15.51	743200	0.0	0
2017-01-06	15.51	15.6	15.45	15.52	1096100	0.0	0
2017-01-09	15.52	15.62	15.24	15.24	655300	0.0	0
2017-01-10	15.25	15.28	15.18	15.19	169400	0.0	0
2017-01-11	15.19	15.57	14.93	15.02	660000	0.0	0
2017-01-12	15.08	15.33	15.04	15.33	278700	0.0	0
2017-01-13	15.37	15.96	15.37	15.76	191300	0.0	0
2017-01-17	15.89	16.19	15.72	16.15	903100	0.0	0
2017-01-18	16.15	16.39	16.07	16.34	1593400	0.0	0
2017-01-19	16.29	16.29	16.03	16.18	925000	0.0	0
2017-01-20	16.19	16.31	16.19	16.23	1252300	0.0	0
2017-01-23	16.24	16.34	16.07	16.24	1843200	0.0	0
2017-01-24	16.25	16.27	16.0	16.1	659400	0.0	0
