Date	Firm	To Grade	From Grade	Action
2018-03-06 12:24:30	UBS	Buy	Neutral	up
2018-04-17 16:16:53	Bank of America	Buy	Buy	main
2018-05-01 14:09:38	Citigroup	Buy	Buy	main
2018-05-07 13:02:24	Credit Suisse	Neutral	Neutral	main
2018-05-08 19:03:54	Bank of America	Buy	Buy	main
2018-10-22 15:56:29	Citigroup	Buy	Buy	main
2018-10-25 11:55:28	SunTrust Robinson Humphrey	Buy	Hold	up
2018-11-05 16:28:02	Deutsche Bank	Buy	Buy	main
2019-04-11 13:32:24	Citigroup	Buy	Buy	main
2019-05-06 12:20:24	Credit Suisse	Outperform	Neutral	up
2019-08-14 12:12:38	Credit Suisse	Outperform		main
2019-08-29 12:03:50	Citigroup	Buy		main
2019-09-09 11:56:55	Citigroup	Buy		main
2019-09-17 11:22:08	SunTrust Robinson Humphrey	Buy		main
2019-11-07 12:15:57	Bank of America	Buy	Neutral	up
2020-04-15 14:24:18	Morgan Stanley	Overweight		main
2020-04-30 12:57:38	Morgan Stanley	Overweight		main
2020-05-06 13:39:13	UBS	Buy		main
2020-06-09 11:19:39	Seaport Global	Buy	Neutral	up
2020-06-17 14:23:02	Morgan Stanley	Overweight		main
