	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	33300482	2020-06-29	0.1101	1470216280
1	Blackrock Inc.	21771168	2020-06-29	0.07200000000000001	961197067
2	FMR, LLC	13325156	2020-06-29	0.044000000000000004	588305637
3	State Street Corporation	12512399	2020-06-29	0.0414	552422415
4	ClearBridge Investments, LLC	10335775	2020-06-29	0.0342	456324466
5	Franklin Resources, Inc.	9556536	2020-06-29	0.0316	421921064
6	Ameriprise Financial, Inc.	9168012	2020-06-29	0.030299999999999997	404767729
7	Boston Partners	8461622	2020-06-29	0.027999999999999997	373580611
8	Geode Capital Management, LLC	5210503	2020-06-29	0.0172	230043707
9	FIL LTD	4695027	2020-06-29	0.0155	207285442
