Date	Firm	To Grade	From Grade	Action
2017-01-17 11:40:21	Goldman Sachs	Buy	Neutral	up
2017-05-05 19:43:23	Goldman Sachs	Neutral	Buy	down
2017-10-09 17:17:13	Morgan Stanley	Overweight		main
2018-03-20 11:40:27	Morgan Stanley	Overweight	Overweight	main
2018-07-20 12:14:30	Bank of America	Underperform	Neutral	down
2018-08-17 18:06:38	Oppenheimer	Perform	Outperform	down
2018-10-31 11:33:07	Bank of America	Neutral	Underperform	up
2019-03-18 12:35:53	JP Morgan	Overweight	Overweight	main
2019-04-30 10:42:54	Bank of America	Buy	Neutral	up
2019-05-01 15:09:28	UBS	Buy		main
2020-04-29 16:35:40	B of A Securities	Buy		main
2020-07-30 14:43:05	Jefferies	Buy		main
