Date	Firm	To Grade	From Grade	Action
2015-07-08 08:51:31	Goldman Sachs	Neutral		init
2015-11-04 09:51:17	Sterne Agee CRT	Buy		init
2015-11-12 06:24:58	Citigroup	Sell		init
2016-01-07 08:30:55	Northland Securities	Market Perform	Outperform	down
2016-01-27 12:07:10	JMP Securities	Market Outperform		main
2016-01-29 06:30:52	Credit Suisse	Outperform		main
2016-03-17 04:13:08	Nomura	Buy		init
2016-05-02 07:58:44	Leerink Swann	Outperform		main
2016-06-09 07:49:05	Guggenheim	Neutral		init
2016-07-29 10:43:08	Barclays	Overweight		main
2016-07-29 11:23:25	Citigroup	Sell		main
2016-07-29 13:42:09	Jefferies	Buy		main
2016-07-29 13:42:10	JMP Securities	Market Outperform		main
2016-07-29 14:06:52	JP Morgan	Overweight		main
2016-08-02 08:21:10	UBS	Neutral		main
2016-08-11 04:19:29	SunTrust Robinson Humphrey	Buy		init
2016-08-23 07:29:27	Barclays	Overweight		main
2016-11-01 11:26:35	Needham	Strong Buy	Buy	up
2016-11-08 13:46:33	Northcoast Research	Neutral	Buy	down
2016-12-15 15:40:52	UBS	Sell	Neutral	down
2017-04-28 12:27:19	Wells Fargo	Market Perform	Outperform	down
2017-07-12 12:36:55	Guggenheim	Buy	Neutral	up
2017-07-17 17:10:41	Morgan Stanley	Overweight		main
2017-07-28 13:35:27	Canaccord Genuity	Hold	Buy	down
2017-07-28 14:34:41	Leerink Swann	Outperform		main
2017-07-28 15:19:45	BMO Capital	Outperform		main
2017-11-02 13:22:51	BMO Capital	Outperform		main
2017-11-02 14:02:34	Morgan Stanley	Overweight		main
2017-11-02 15:29:14	PiperJaffray	Neutral	Overweight	down
2017-11-09 15:02:26	Edward Jones	Buy	Hold	up
2017-11-14 13:41:52	Deutsche Bank	Buy	Hold	up
2017-12-20 13:40:33	Goldman Sachs	Neutral	Sell	up
2018-01-31 13:47:24	Leerink Swann	Outperform	Outperform	main
2018-01-31 16:55:14	Stifel Nicolaus	Buy	Hold	up
2018-02-26 12:40:03	Morgan Stanley	Overweight	Overweight	main
2018-02-27 14:59:56	Citigroup	Neutral	Neutral	main
2018-02-28 15:45:12	Citigroup	Neutral	Neutral	main
2018-03-23 11:22:51	Baird	Neutral	Outperform	down
2018-04-27 12:37:21	JMP Securities	Market Outperform	Market Outperform	main
2018-04-27 14:31:28	Morgan Stanley	Overweight	Overweight	main
2018-05-05 13:32:15	Argus	Buy		up
2018-06-22 15:57:38	Argus	Hold	Buy	down
2018-07-30 11:11:56	Canaccord Genuity	Hold	Hold	main
2018-07-30 11:30:58	JMP Securities	Market Outperform	Market Outperform	main
2018-07-30 11:33:51	Cantor Fitzgerald	Overweight	Overweight	main
2018-07-30 13:32:52	Raymond James	Outperform	Outperform	main
2018-07-30 13:54:42	Baird	Neutral	Neutral	main
2018-07-31 11:59:16	Citigroup	Neutral	Neutral	main
2018-08-13 18:35:30	Needham	Buy	Strong Buy	down
2018-10-11 14:09:05	Morgan Stanley	Overweight	Overweight	main
2018-10-29 14:01:41	Citigroup	Neutral	Neutral	main
2018-10-29 15:10:29	Barclays	Underweight	Underweight	main
2018-10-29 15:24:20	Jefferies	Buy	Buy	main
2018-12-19 14:15:08	JP Morgan	Neutral	Overweight	down
2019-01-02 12:47:28	Morgan Stanley	Overweight	Overweight	main
2019-01-02 13:03:06	Citigroup	Buy	Neutral	up
2019-03-04 14:05:46	Morgan Stanley	Overweight	Overweight	main
2019-04-08 12:02:29	Evercore ISI Group	Outperform	In-Line	up
