	Holder	Shares	Date Reported	% Out	Value
0	Morgan Stanley	15153907	2020-06-29	0.07780000000000001	3842121580
1	Vanguard Group, Inc. (The)	10278000	2020-06-29	0.0528	2605884120
2	Renaissance Technologies, LLC	7256035	2020-06-29	0.0373	1839695113
3	Hillhouse Capital Advisors Ltd.	6856980	2020-06-29	0.0352	1738518709
4	Baillie Gifford and Company	6668266	2020-06-29	0.0342	1690672161
5	Blackrock Inc.	4916040	2020-06-29	0.0252	1246412781
6	Artisan Partners Limited Partnership	4465535	2020-06-29	0.0229	1132191743
7	State Street Corporation	2677596	2020-06-29	0.0137	678877689
8	Coatue Management, LLC	2521307	2020-06-29	0.0129	639252176
9	Price (T.Rowe) Associates Inc	2362028	2020-06-29	0.0121	598868579
