	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	40159948	2020-06-29	0.08449999999999999	5503519273
1	Vanguard Group, Inc. (The)	38072458	2020-06-29	0.0801	5217449644
2	State Street Corporation	20460206	2020-06-29	0.0431	2803866630
3	State Farm Mutual Automobile Insurance Co	18133315	2020-06-29	0.0382	2484989487
4	AllianceBernstein, L.P.	14797598	2020-06-29	0.0311	2027862829
5	Bank of America Corporation	12943705	2020-06-29	0.027200000000000002	1773805333
6	Morgan Stanley	10956821	2020-06-29	0.0231	1501522749
7	Polen Capital Management, LLC	10780182	2020-06-29	0.0227	1477316141
8	FMR, LLC	10370260	2020-06-29	0.0218	1421140430
9	Capital World Investors	9466322	2020-06-29	0.0199	1297264766
